CHEBI_GO_SO_EXT:enzyme	SO:0001185
CHEBI_SO_EXT:alanine	SO:0001435
CHEBI_SO_EXT:amino_acid	SO:0001237
CHEBI_SO_EXT:arginine	SO:0001451
CHEBI_SO_EXT:asparagine	SO:0001449
CHEBI_SO_EXT:aspartate_or_aspartic_acid	SO:0001453
CHEBI_SO_EXT:aspartic_acid	SO:0001453
CHEBI_SO_EXT:base	SO:0001236
CHEBI_SO_EXT:biomarker	SO:0001645
CHEBI_SO_EXT:C_terminus_or_C_terminal_region	SO:0000001
CHEBI_SO_EXT:cysteine	SO:0001447
CHEBI_SO_EXT:deoxyoligonucleotide	SO:0000352	SO:0000696
CHEBI_SO_EXT:deoxyribonucleotide	SO:0001236	SO:0000352
CHEBI_SO_EXT:dinucleotide	SO:0001236
CHEBI_SO_EXT:DNA	SO:0000352
CHEBI_SO_EXT:double_stranded_DNA	SO:0000352	SO:0000985
CHEBI_SO_EXT:double_stranded_RNA	SO:0000356	SO:0000985
CHEBI_SO_EXT:epitope	SO:0001018
CHEBI_SO_EXT:glutamate_or_glutamic_acid	SO:0001454
CHEBI_SO_EXT:glutamic_acid	SO:0001454
CHEBI_SO_EXT:glutamine	SO:0001448
CHEBI_SO_EXT:glycine	SO:0001443
CHEBI_SO_EXT:hexanucleotide	SO:0001236
CHEBI_SO_EXT:histidine	SO:0001452
CHEBI_SO_EXT:inosine	SO:0001230
CHEBI_SO_EXT:isoleucine	SO:0001438
CHEBI_SO_EXT:leucine	SO:0001437
CHEBI_SO_EXT:lysine	SO:0001450
CHEBI_SO_EXT:methionine	SO:0001442
CHEBI_SO_EXT:molecular_indicator_or_label_or_marker_or_tag	SO:0001645	SO:0000324
CHEBI_SO_EXT:molecular_label_or_mark_or_tag_process	SO:0001645	SO:0000324
CHEBI_SO_EXT:molecular_probe	SO:0000051
CHEBI_SO_EXT:mRNA	SO:0000234
CHEBI_SO_EXT:N_terminus_or_N_terminal_region	SO:0000001
CHEBI_SO_EXT:nonanucleotide	SO:0001236
CHEBI_SO_EXT:nucleic_acid	SO:0000348
CHEBI_SO_EXT:nucleotide	SO:0001236
CHEBI_SO_EXT:oligonucleotide	SO:0000696
CHEBI_SO_EXT:peptide_or_peptide_region	SO:0001407
CHEBI_SO_EXT:phenylalanine	SO:0001441
