CHEBI_GO_EXT:agonist	GO:0048018
CHEBI_GO_EXT:antagonist	GO:0048019
CHEBI_GO_EXT:antioxidant	GO:0016209
CHEBI_GO_EXT:cyclin_dependent_kinase_inhibitor	GO:0004861
CHEBI_GO_EXT:enzyme_inhibitor	GO:0004857
CHEBI_GO_EXT:histone_deacetylase_inhibitor	GO:0046811
CHEBI_GO_EXT:hormone	GO:0005179
CHEBI_GO_EXT:ligand	GO:0005488
CHEBI_GO_EXT:ligase_inhibitor	GO:0055104
CHEBI_GO_EXT:neomycin_or_neomycin_phosphotransferase	GO:0008910
CHEBI_GO_EXT:peptidase_or_protease_or_proteinase_inhibitor	GO:0030414
CHEBI_GO_EXT:phosphoprotein_phosphatase_inhibitor	GO:0004721
CHEBI_GO_EXT:radioligand	GO:0005488
CHEBI_GO_PR_EXT:growth_hormone	GO:0070186
CHEBI_GO_SO_EXT:enzyme	GO:0003824
CHEMINF_GO_EXT:bearer_of_chemical_binding_or_bond_formation	GO:0005488
CHEMINF_GO_EXT:chemical_binding_or_bond_formation	GO:0005488
GO_EXT:0000006	GO:0000006
GO_EXT:0000007	GO:0000007
GO_EXT:0000009	GO:0000009
GO_EXT:0000010	GO:0000010
GO_EXT:0000014	GO:0000014
GO_EXT:0000016	GO:0000016
GO_EXT:0000026	GO:0000026
GO_EXT:0000030	GO:0000030
GO_EXT:0000031	GO:0000031
GO_EXT:0000033	GO:0000033
GO_EXT:0000034	GO:0000034
GO_EXT:0000035	GO:0000035
GO_EXT:0000036	GO:0000036
GO_EXT:0000048	GO:0000048
GO_EXT:0000049	GO:0000049
GO_EXT:0000062	GO:0000062
GO_EXT:0000064	GO:0000064
GO_EXT:0000095	GO:0000095
GO_EXT:0000099	GO:0000099
GO_EXT:0000100	GO:0000100
GO_EXT:0000102	GO:0000102
GO_EXT:0000104	GO:0000104
GO_EXT:0000107	GO:0000107
GO_EXT:0000121	GO:0000121
GO_EXT:0000140	GO:0000140
GO_EXT:0000146	GO:0000146
GO_EXT:0000149	GO:0000149
GO_EXT:0000150	GO:0000150
GO_EXT:0000155	GO:0000155
GO_EXT:0000156	GO:0000156
GO_EXT:0000166	GO:0000166
GO_EXT:0000170	GO:0000170
GO_EXT:0000171	GO:0000171
GO_EXT:0000175	GO:0000175
GO_EXT:0000179	GO:0000179
GO_EXT:0000182	GO:0000182
GO_EXT:0000210	GO:0000210
GO_EXT:0000213	GO:0000213
GO_EXT:0000215	GO:0000215
GO_EXT:0000217	GO:0000217
GO_EXT:0000224	GO:0000224
GO_EXT:0000225	GO:0000225
GO_EXT:0000227	GO:0000227
GO_EXT:0000234	GO:0000234
GO_EXT:0000246	GO:0000246
GO_EXT:0000247	GO:0000247
GO_EXT:0000248	GO:0000248
GO_EXT:0000249	GO:0000249
GO_EXT:0000250	GO:0000250
GO_EXT:0000252	GO:0000252
GO_EXT:0000253	GO:0000253
GO_EXT:0000254	GO:0000254
GO_EXT:0000257	GO:0000257
GO_EXT:0000268	GO:0000268
GO_EXT:0000269	GO:0000269
GO_EXT:0000277	GO:0000277
GO_EXT:0000285	GO:0000285
GO_EXT:0000286	GO:0000286
GO_EXT:0000287	GO:0000287
GO_EXT:0000293	GO:0000293
GO_EXT:0000295	GO:0000295
GO_EXT:0000297	GO:0000297
GO_EXT:0000298	GO:0000298
GO_EXT:0000309	GO:0000309
GO_EXT:0000310	GO:0000310
GO_EXT:0000319	GO:0000319
GO_EXT:0000332	GO:0000332
GO_EXT:0000334	GO:0000334
GO_EXT:0000339	GO:0000339
GO_EXT:0000340	GO:0000340
GO_EXT:0000341	GO:0000341
GO_EXT:0000342	GO:0000342
GO_EXT:0000384	GO:0000384
GO_EXT:0000386	GO:0000386
GO_EXT:0000400	GO:0000400
GO_EXT:0000401	GO:0000401
GO_EXT:0000402	GO:0000402
GO_EXT:0000403	GO:0000403
GO_EXT:0000404	GO:0000404
GO_EXT:0000405	GO:0000405
GO_EXT:0000406	GO:0000406
GO_EXT:0000496	GO:0000496
GO_EXT:0000497	GO:0000497
GO_EXT:0000498	GO:0000498
GO_EXT:0000499	GO:0000499
GO_EXT:0000700	GO:0000700
GO_EXT:0000701	GO:0000701
GO_EXT:0000702	GO:0000702
GO_EXT:0000703	GO:0000703
GO_EXT:0000704	GO:0000704
GO_EXT:0000721	GO:0000721
GO_EXT:0000772	GO:0000772
GO_EXT:0000773	GO:0000773
GO_EXT:0000774	GO:0000774
GO_EXT:0000810	GO:0000810
GO_EXT:0000822	GO:0000822
GO_EXT:0000823	GO:0000823
GO_EXT:0000824	GO:0000824
GO_EXT:0000825	GO:0000825
GO_EXT:0000827	GO:0000827
GO_EXT:0000828	GO:0000828
GO_EXT:0000829	GO:0000829
GO_EXT:0000830	GO:0000830
GO_EXT:0000831	GO:0000831
GO_EXT:0000832	GO:0000832
GO_EXT:0000833	GO:0000833
GO_EXT:0000834	GO:0000834
GO_EXT:0000900	GO:0000900
GO_EXT:0000901	GO:0000901
GO_EXT:0000906	GO:0000906
GO_EXT:0000907	GO:0000907
GO_EXT:0000908	GO:0000908
GO_EXT:0000944	GO:0000944
GO_EXT:0000945	GO:0000945
GO_EXT:0000946	GO:0000946
GO_EXT:0000975	GO:0000975
GO_EXT:0000976	GO:0000976
GO_EXT:0000977	GO:0000977
GO_EXT:0000978	GO:0000978
GO_EXT:0000979	GO:0000979
GO_EXT:0000980	GO:0000980
GO_EXT:0000981	GO:0000981
GO_EXT:0000982	GO:0000982
GO_EXT:0000983	GO:0000983
GO_EXT:0000984	GO:0000984
GO_EXT:0000985	GO:0000985
GO_EXT:0000986	GO:0000986
GO_EXT:0000987	GO:0000987
GO_EXT:0000988	GO:0000988
GO_EXT:0000989	GO:0000989
GO_EXT:0000990	GO:0000990
GO_EXT:0000991	GO:0000991
GO_EXT:0000992	GO:0000992
GO_EXT:0000993	GO:0000993
GO_EXT:0000994	GO:0000994
GO_EXT:0000995	GO:0000995
