GO_EXT:0001648	GO_PR_EXT:proteinase_activated_receptor
GO_EXT:0003756	GO_PR_EXT:protein_disulfide_isomerase
GO_EXT:0003824
GO_EXT:0003912	GO_PR_EXT:DNA_nucleotidylexotransferase
GO_EXT:0003990	GO_PR_EXT:acetylcholinesterase
GO_EXT:0004035	GO_PR_EXT:alkaline_phosphatase
GO_EXT:0004056	GO_PR_EXT:argininosuccinate_lyase
GO_EXT:0004084	GO_PR_EXT:branched_chain_amino_acid_aminotransferase
GO_EXT:0004085	GO_PR_EXT:short_chain_acyl_CoA_dehydrogenase
GO_EXT:0004096	GO_PR_EXT:catalase
GO_EXT:0004102	GO_PR_EXT:choline_O_acetyltransferase
GO_EXT:0004111	GO_PR_EXT:creatine_kinase
GO_EXT:0004144	GO_PR_EXT:diacylglycerol_acyltransferase
GO_EXT:0004148	GO_PR_EXT:dihydrolipoamide_dehydrogenase
GO_EXT:0004312	GO_PR_EXT:fatty_acid_synthase
GO_EXT:0004340	GO_PR_EXT:glucokinase
GO_EXT:0004345	GO_PR_EXT:glucose_6_phosphate_dehydrogenase
GO_EXT:0004346	GO_PR_EXT:glucose_6_phosphatase
GO_EXT:0004347	GO_PR_EXT:glucose_6_phosphate_isomerase
GO_EXT:0004362	GO_PR_EXT:glutathione_disulfide_reductase
GO_EXT:0004363	GO_PR_EXT:glutathione_synthase
GO_EXT:0004364	GO_PR_EXT:glutathione_S_transferase
GO_EXT:0004365	GO_PR_EXT:glyceraldehyde_3_phosphate_dehydrogenase
GO_EXT:0004385	GO_PR_EXT:guanylate_kinase
GO_EXT:0004420	GO_PR_EXT:hydroxymethylglutaryl_CoA_reductase
GO_EXT:0004422	GO_PR_EXT:hypoxanthine_guanine_phosphoribosyltransferase
GO_EXT:0004465	GO_PR_EXT:lipoprotein_lipase
GO_EXT:0004466	GO_PR_EXT:long_chain_acyl_CoA_dehydrogenase
GO_EXT:0004489	GO_PR_EXT:methylenetetrahydrofolate_reductase
GO_EXT:0004494	GO_PR_EXT:methylmalonyl_CoA_mutase
GO_EXT:0004503	GO_PR_EXT:monophenol_monooxygenase_or_tyrosinase
GO_EXT:0004522	GO_PR_EXT:pancreatic_ribonuclease_or_ribonuclease_A
GO_EXT:0004530	GO_PR_EXT:deoxyribonuclease_I
GO_EXT:0004612	GO_PR_EXT:phosphoenolpyruvate_carboxykinase
GO_EXT:0004618	GO_EXT:phosphoglycerate_kinase
GO_EXT:0004623	GO_PR_EXT:phospholipase_A2
GO_EXT:0004704	GO_PR_EXT:NF_kappaB_inducing_kinase
GO_EXT:0004707	GO_PR_EXT:MAP_kinase
GO_EXT:0004768	GO_PR_EXT:stearoyl_CoA_desaturase
GO_EXT:0004797	GO_PR_EXT:thymidine_kinase
GO_EXT:0004844	GO_PR_EXT:uracil_DNA_glycosylase
GO_EXT:0004857	CHEBI_GO_EXT:enzyme_inhibitor
